id,seccode,startPos
147689,BR-10.17M260917CA54,4
147689,Si56000BV7,10
147691,USD000000TOD,3000
147694,AKRN,9
147694,ALRS,500
147694,CHMF,40
147694,GAZP,500
147694,GMKN,5
147694,LKOH,20
147694,MGNT,4
147694,MOEX,350
147694,NVTK,40
147694,ROSN,180
147694,SBER,460
147694,SBERP,700
147694,SNGS,2000
147694,SNGSP,2000
147694,TATNP,70
147694,VTBR,7e+05
147699,BSPB,33500
147699,ENRU,350000
147699,FEES,1120000
147699,HYDR,220000
147699,PRTK,800
147699,VTBR,5e+05
147700,SBRF-9.17,2
147700,GAZR-9.17,2
147705,SiZ7,3
147706,BRV7,-1
147707,RIZ7,-2
147710,RIZ7,-1
147710,SiZ7,3
147712,BRV7,-16
147717,GAZP,3890
147717,ROSN,310
147717,RTKM,550
147724,BSPB,3140
147724,ENRU,29000
147724,FEES,1e+05
147724,GAZP,300
147724,GMKN,9
147724,IRAO,10000
147724,LKOH,48
147724,LSRG,13
147724,MOEX,200
147724,MSNG,7000
147724,MSTT,350
147724,MTSS,220
147724,RASP,700
147726,EDZ7,-15
147731,SiZ7,1
147731,SRZ7,-1
147732,MAGN,30000
147732,NVTK,2000
147732,RASP,30000
147736,BRV7,-61
147737,SRZ7,15
147737,GDZ7,-6
147738,GAZP,70
147740,RIZ7,-1
147740,SiZ7,-5
147740,MMZ7,-20
147740,GDZ7,25
147740,EDZ7,10
147741,JPZ7,-173
147742,AFKS,2000
147742,AGRO,106
147742,CHMF,50
147742,GAZP,450
147742,LKOH,17
147742,MAGN,1000
147742,NLMK,300
147742,RSTI,55000
147742,RUAL,1000
147742,SIBN,70
147742,YNDX,10
147742,LKZ7,2
147742,GMZ7,1
147746,JPZ7,-203
147747,BRV7,10
147750,SiZ7,1
147750,EuZ7,1
147750,BRV7,1
147750,GZZ7,-3
147750,LKZ7,1
147750,RNZ7,1
147750,SRZ7,-2
147750,SVZ7,-3
147750,GDZ7,-1
147750,EDZ7,-1
147750,GMZ7,1
147750,VBZ7,5
147750,TTZ7,1
147751,GAZR-9.17,1104
147751,SRZ7,33
147751,VTBR-9.17,4
147752,RI110000BV7,50
147754,BANEP,5
147754,CHMF,10
147754,GAZP,20
147754,KRKNP,1
147754,RUAL,90
147754,YNDX,5
147755,SNGSP,2000
147757,AGRO,158
147757,ALRS,900
147757,ENRU,78000
147757,MFON,110
147757,MSNG,58000
147757,PRTK,800
147757,RASP,1800
147759,RIZ7,-9
147759,SiZ7,22
147759,EDZ7,-16
